,log_standard_value,Y_pred,bioactivity_class_real,bioactivity_class_pred
2079,4.920818753952375,5.013644348081499,active,intermediate
2084,4.619788758288394,5.247035635667491,active,intermediate
2135,4.886056647693163,5.0233050575632205,active,intermediate
2136,6.522878745280337,5.930967910564649,inactive,intermediate
2142,3.863279432843593,5.252416139303462,active,intermediate
2143,5.698970004336019,4.928212880673373,intermediate,active
2145,5.154901959985743,4.92420525685082,intermediate,active
2148,5.096910013008056,4.9893603632341454,intermediate,active
2153,5.045757490560675,4.93226121124409,intermediate,active
2156,4.6020599913279625,5.272321867994597,active,intermediate
2169,6.096910013008056,5.865499985802038,inactive,intermediate
2177,5.055517327849832,4.974260485118185,intermediate,active
2181,5.008773924307505,4.945696986626659,intermediate,active
2202,5.060480747381382,4.950026107984118,intermediate,active
2206,5.0,5.270754737520076,active,intermediate
2207,5.0,5.169960790633812,active,intermediate
2208,4.657577319177793,5.161865156366994,active,intermediate
2213,6.2076083105017466,5.999514368406084,inactive,intermediate
2232,6.585026652029182,5.7476913934157565,inactive,intermediate
2238,5.0,5.240469631945675,active,intermediate
2239,6.128427064454121,5.970226207148813,inactive,intermediate
2241,5.0,5.246780419654336,active,intermediate
2242,5.0,5.2597990358034625,active,intermediate
2243,5.0,5.293221401712631,active,intermediate
2286,5.008773924307505,4.941965891068671,intermediate,active
2293,5.0,5.053684996636238,active,intermediate
2316,4.808241678629552,5.098080967142629,active,intermediate
2317,4.823156615496261,5.0836122983608405,active,intermediate
2338,5.337242168318426,6.239089099283891,intermediate,inactive
2342,4.736363931411892,5.018089578791667,active,intermediate
2358,4.936291440608582,5.044663550630171,active,intermediate
2379,4.764471553092451,5.086231972714213,active,intermediate
2380,4.61261017366127,5.250913172971593,active,intermediate
2388,5.045757490560675,4.791541241305669,intermediate,active
2409,5.142667503568732,4.887162545610801,intermediate,active
2458,4.899629454882437,5.0616435218428615,active,intermediate
2459,4.987162775294828,5.101984227574111,active,intermediate
2531,4.994390554639719,5.239991360789666,active,intermediate
2532,6.455931955649724,5.96161338391155,inactive,intermediate
2535,4.984640244590786,5.1043565115412735,active,intermediate
2537,6.050609993355087,5.799573107477285,inactive,intermediate
2538,6.2839966563652006,5.955794427562008,inactive,intermediate
2585,4.889999848866887,5.043190210500615,active,intermediate
2597,6.060001790087838,5.928568567724245,inactive,intermediate
2602,4.860000083248981,5.130554260639979,active,intermediate
2604,4.920000156997057,5.071716027377309,active,intermediate
2606,4.769999911123512,5.008895190743953,active,intermediate
2608,4.849999859991125,5.1484273785105845,active,intermediate
2614,6.030002001401658,5.739313545486868,inactive,intermediate
2616,6.149997413907539,5.935144381438822,inactive,intermediate
2622,6.090000275786018,5.7792888272926355,inactive,intermediate
2623,4.790216985151485,5.072189953707701,active,intermediate
2624,4.960585880823863,5.034761788316062,active,intermediate
2659,4.923723744595782,5.024150063517838,active,intermediate
2663,4.858863909879261,5.086763059415283,active,intermediate
2664,4.820448208834812,5.036934523498983,active,intermediate
2667,4.80271944187438,5.034550154446087,active,intermediate
2669,4.927750102386486,5.113914573752003,active,intermediate
2692,4.838033383635925,5.021230683134888,active,intermediate
2693,4.950781977329818,5.072219919762293,active,intermediate
2721,4.823908740944319,5.296368816498234,active,intermediate
2722,4.91721462968355,5.145418980471119,active,intermediate
2723,4.679853713888946,5.199784305370297,active,intermediate
2724,5.011887159731648,4.966483938821531,intermediate,active
2781,4.657577319177793,5.402320969896707,active,intermediate
2799,5.539102157243452,4.999150937723271,intermediate,active
2801,4.987162775294828,5.345996717142929,active,intermediate
2802,4.8124792791635365,5.3524797779979725,active,intermediate
